重庆市
地区,确诊,死亡,自愈
所有地区合计,572,6,316
万州区,118,4,65,
江北区,28,0,10,
合川区,23,0,10,
潼南区,18,0,5,
奉节县,22,0,10,
綦江区,23,0,12,
垫江县,20,0,9,
长寿区,21,0,11,
两江新区,17,0,7,
南岸区,15,0,5,
九龙坡区,20,1,11,
渝北区,17,0,10,
沙坪坝区,8,0,1,
云阳县,25,0,19,
渝中区,20,0,14,
铜梁区,10,0,4,
丰都县,10,0,4,
大足区,14,0,9,
巫溪县,14,0,9,
开州区,21,1,16,
石柱县,15,0,11,
巫山县,10,0,6,
荣昌区,9,0,5,
巴南区,6,0,2,
涪陵区,5,0,2,
忠县,20,0,18,
璧山区,9,0,7,
大渡口区,7,0,5,
高新区,4,0,2,
彭水县,2,0,0,
永川区,5,0,4,
江津区,4,0,3,
酉阳县,1,0,0,
万盛经开区,1,0,0,
梁平区,4,0,4,
黔江区,2,0,2,
城口县,2,0,2,
武隆区,1,0,1,
秀山县,1,0,1,
信息爬取时间：2020-02-22 16：02
